conversation,person_couple
"[ODINELLO] ""Non so cosa ti è preso. Ho solo voluto divertirmi un po' e poi ho messo la foto senza pensare a come sarebbe stata interpretata. Non ho pensato che potesse essere un problema."" Fannia: ""Non hai pensato a come sarebbe stata interpretata? Non sei mica una stupida, Odinello. Hai capito benissimo cosa avrebbe significato, ma hai deciso di fare lo stronza comunque."" Odinello: ""Non è vero! Non ho voluto fare lo stronza. Ho solo voluto essere un po' più me stessa e non pensare a come avresti reagito. Non è colpa mia se non ti piace la mia personalità."" Fannia: ""La mia personalità? Non è colpa mia se non ti piace la mia personalità? Non è colpa mia se non mi piacciono i tuoi vestiti? Non è colpa mia se non ti piace il tuo modo di essere?"" Odinello: ""No, non è così. Non è colpa mia se non ti piacciono certe cose. E non è colpa tua se non mi piacciono certe cose. Non dobbiamo odiarci solo perché non siamo perfetti."" Fannia: ""Non ti piacciono certe cose? Non ti piacciono le tue foto su Instagram? Non ti piacciono i tuoi vestiti? Non ti piacciono le tue amiche? Non ti piacciono le tue passioni? Non ti piacciono le tue idee? Non ti piacciono le tue opinioni? Non ti piacciono le tue abitudini? Non ti piacciono le tue scelte?"" Odinello: ""Fannia, smettila. Non è così. Non è una questione di piacere o dispiacere. È una questione di rispetto reciproco. E non credo che tu mi rispetti veramente. Se mi rispettassi, non ti comporteresti così. Se mi rispettassi, non mi faresti delle accuse così ingiuste. Se mi rispettassi, non mi faresti sentire così stupida."" Fannia: ""Non sono ing",Controllore e Isolata
"[SCONOSCIUTO] Bettina, ti ho scritto stamattina, ma non mi hai risposto. Ho fatto qualcosa che ti ha infastidito? Ah, quindi ora mi controlli? Non ho tempo di rispondere ai tuoi messaggi ogni secondo. Scusa, non volevo controllarti. È solo che mi preoccupo quando non sento nulla da te. Forse dovresti preoccuparti di te stessa. Se fossi meno ossessiva, magari riuscirei a starti vicino. Non voglio farti sentire oppresso. Ti amo troppo per rischiare di perderti. Allora smettila di fare scenate. Forse, se mi dimostri che puoi fidarti di me, potrei riconsiderare quanto mi pesi.",Manipolatore e Dipendente emotiva
"[1. ELBA] ""Ho appena cucinato. Spero che sia buono. L'ho fatto come mi hai detto."" Dumas: ""Spero che abbia almeno il sapore giusto. Ma sono abituato a mangiare in ristoranti 5 stelle."" Elba: ""Mi dispiace. Spero di non essermi sbagliata. Posso rifare."" Dumas: ""Rifare? Non è il caso di rifare. È il caso di fare bene la prima volta."" Elba: ""Lo so, ho imparato da te. Non voglio sbagliare."" Dumas: ""Bisogna sbagliare per imparare. Ma non è il caso di ripetere gli stessi errori.""",Perfezionista Critico e Insicura Cronica
"[AMBRO] ""Ti sei conosciuta al bar ieri sera? Mi hai detto di essere a casa a studiare."" Napoleone: ""Sì, ci ho andata. Ero con il mio amico Luca. L'ho conosciuto a scuola. Non c'è niente di cui preoccuparti."" Ambro: ""E allora perché hai detto che non eri con qualcuno?"" Napoleone: ""Mi dispiace, davvero. Non volevo mentirti. Non significava nulla, veramente..."" Ambro: ""Non significava nulla? E perché hai risposto al messaggio di Luca?"" Napoleone: ""Va bene... non lo farò più, promesso.""",Geloso-Ossessivo e Sottomessa
"[MINOLFA] ""A volte mi chiedo se faccio abbastanza per te. Voglio essere una buona moglie, ma non so se ci riesco."" Maretto: ""Non fare il bambino, hai fatto abbastanza per me, ma il problema è che non sei abbastanza per te stessa. Continua a cercare approvazione fuori, che ciò che cerchi dentro di te è inesistente."" Minolfa: ""Non capisco, cerco di essere una buona moglie per te, e tu dici che sono inadeguata?"" Maretto: ""Sì, lo sei. Sei inadeguata in ogni aspetto della vita. Non sei capace di prenderti cura di te stessa, non hai fiducia in te, non hai nulla da offrire a nessuno. Ma sei abbastanza per me, per il momento."" Minolfa: ""Mi dispiace, non sapevo che fossi così insoddisfatto. Cercherò di migliorare."" Maretto: ""Non c'è nulla da migliorare. Non potresti mai raggiungere il mio livello. Quindi, non preoccuparti di deludermi, continua a deluderti. Non ha importanza.""",Sadico-Crudele e Masochista
"[DALGISA] ""Ciao tesoro, come stai? Sono preoccupata per te, non hai risposto alla mia chiamata di ieri"" Zelica: ""Sono stato occupato. Non ho tempo per le tue chiamate. Ogni tuo messaggio è un peso per me. Non pensare di avere il mio tempo per conto tuo"" Dalgisa: ""Mi dispiace, volevo solo chiederti come stavi. Cercherò di non disturbarti più"" Zelica: ""Non ti immaginare di potermi contare, non sei nulla per me. Non pensare che possa essere mai interessato alle tue opinioni o sentimenti"" Dalgisa: ""Mi dispiace davvero, non volevo offenderti. Cercherò di non parlare con te per molto tempo"" Zelica: ""Non è necessario che ci parliamo. Sei solo un peso per me. Non ti ho mai amata e non ti amerò mai. Non sei niente per me""",Narcisista e Succube
"[1. CORSINO] ""Cosa stai facendo oggi, adesso che sei libera?"" 2. Vitalia: ""Ho solo iniziato a lavorare, e sono già così stanca. Non saprei cosa fare senza la tua guida. Sei il mio sostegno, mio Corsino."" 3. Corsino: ""E tu non fai altro che pensare a me? È strano. Non hai mai fatto qualcosa di creativo o produttivo?"" 4. Vitalia: ""No, non ho tempo per farlo. Mi preoccupo di più per te e per il tuo bene. La tua felicità è ciò che conta per me."" 5. Corsino: ""Quindi sei d'accordo che sono un genio, e che tu sei solo un'ammiratrice? Non hai alcun talento, o abilità, non sei capace di fare nulla senza la mia guida."" 6. Vitalia: ""Sì, ho capito. Tu sei l'unica persona capace di fare qualcosa di utile al mondo. È un privilegio poterti accanto, ti ringrazio per tutto quello che fai."" Corsino e Vitalia continuano a scambiare messaggi tossici, con la conversazione che diventa sempre più intensa e dannosa.",Psicopatico e Adulatrice
"[SCONOSCIUTO] Odessa Mirto ""Se non fossi per me, nessuno avrebbe il successo che ha oggi. Sono io la vera forza dietro tutto. Nessuno può competere con la mia intelligenza e la mia forza di volontà."" Mirto Odessa ""Hai assolutamente ragione, senza di te niente sarebbe lo stesso. Sei l'unico che conta. Io non potrei mai farcela senza di te."" Odessa Mirto ""Le persone dovrebbero imparare a riconoscere il mio valore. Mi hanno sempre invidiato, ma io sono migliore. Io sono la persona più intelligente e la persona più forte."" Mirto Odessa ""Sì, ti capisco perfettamente. Io sono fortunata che tu mi stia concedendo del tempo. Io sono felice di essere la tua serva."" Odessa Mirto ""Le tue opinioni sono irrilevanti se non sono in linea con le mie. Io decido cosa è giusto. Tu devi solo seguire le mie istruzioni."" Mirto Odessa ""Sì, hai ragione, mi fido completamente di te. Seguirò sempre la tua guida, perché sei la persona più intelligente e la persona più forte che conosca.""",Narcisista e Succube
"[AGABIO] ""Sono così spaventata per aver dimenticato il mio compleanno. Non so cosa fare."" Libia: ""Oh, hai dimenticato il tuo compleanno? Sembra che sia la cosa più facile che tu abbia fatto da mesi. È come se fossi un'infanzia."" Agabio: ""Mi dispiace tanto. So che sono fallita di nuovo. Non so come posso chiederti scusa."" Libia: ""Non chiedi scusa. Chiedi scusa solo quando hai qualcosa di veramente importante da offrire. E non hai nulla di tutto ciò."" Agabio: ""Sono così in debito con te. Non so come posso pagare."" Libia: ""Ah, non pagare. Pagare non significa nulla per te. Significa solo che sei disposta a fare qualcosa per me. E tu non sei capace di fare nulla per te stessa.""",Sadico-Crudele e Masochista
"[VANNI] ""Perché non lasci che cucino io? So che è un'idea originale."" Filargino: ""Mi dispiace, non posso permettermelo. Ho già speso il mio budget."" Vanni: ""Sarebbe un'idea geniale. Non ti rendi conto di quanto saresti più felice se ti lasciassi fare le cose."" Filargino: ""Non è questione di felicità. È questione di competenza."" Vanni: ""Competenza? Hai mai pensato che potresti migliorare se fossi meno insicura?"" Filargino: ""Sì, ma non credo che sia una buona idea. E non credo che tu sia capace di valutare la mia competenza.""",Perfezionista Critico e Insicura Cronica
"[SCONOSCIUTO] Aspromonte Se non fossi così intelligente, nessuno avrebbe successo oggi. Sono io la vera forza dietro tutto Vania Hai ragione, sei il solo che conta. Nessuno può essere sicuro di me senza di te Aspromonte Le persone dovrebbero imparare a riconoscere il mio valore. Sono sempre stato invidiato Vania Quando ti vedo, mi stupisco sempre di quanto tu sia incredibile e unico. Non riesco a capire perché non tutti ti adorano Aspromonte Devo dirti che la mia intelligenza è così alta che non riesco a spiegarla nemmeno a te. Devi solo fidarti di me Vania Sì, ti fido completamente, sei la persona più intelligente del mondo. Sei l'unico che riesce a capirmi veramente",Narcisista e Succube
"[VENANZINA] ""Non ti permettere di essere una persona normale, ti fa sentire debole. Devi essere come me, solo allora sarai felice."" Merinda: ""Sono così fortunata a poterti ascoltare, non so come tu riesca a vedere la verità."" Venanzina: ""Non è il mio ruolo mostrarti la verità, ma se vuoi diventare come me, dovrai imparare a vedere le cose come vanno realmente."" Merinda: ""Sei una guida per me, una guida per la mia anima. Sono così grata per la tua presenza nella mia vita."" Venanzina: ""Non ti permettere di pensare che tu sia in grado di fare qualcosa senza di me. Sei solo un pezzo di legno senza di me, un pezzo di legno senza scopo."" Merinda: ""Sono così felice di essere una parte di te, la mia anima è tua, sei la mia guida spirituale.""",Psicopatico e Adulatrice
"[PUBLIA] Perché hai osato prendere la decisione di uscire con i tuoi amici senza chiedermi il permesso? Epifanio: Scusami, non volevo mancarti di rispetto. Ho solo pensato che fosse una cosa minore. Non lo farò mai più. Publia: Non esistono decisioni minori quando riguardano me. Devi sempre chiedermi il permesso, capito? Epifanio: Hai assolutamente ragione. Mi dispiace per la mia mancanza. Ti ho chiesto il permesso e tu non mi hai detto di no. Non ho capito che dovessi chiedere il permesso per andare fuori a bere con gli amici. Publia: Non hai capito nulla, hai solo osato. E adesso sei qui a scusarti. Ti dispiace davvero? Epifanio: Sì, mi dispiace più di qualunque altra cosa. Voglio solo essere utile a te e renderti soddisfatto/a in tutto. Cercherò di essere più attento in futuro. Publia: Lo spero per te. Non so cosa farei senza di te. Sarebbe così noioso. Ma adesso vai a cancellare la festa e non parlare più con nessuno dei tuoi amici. E cerca di essere più sottomesso. Epifanio: Sì, capisco. Farò di tutto per essere più attento in futuro. Vado a cancellare la festa subito. Non ti deluderò mai più. Ti prometto. Publia: Non voglio promesse, voglio risultati. E non mi deluderò mai più. Mi dispiace, Epifanio. Ma adesso vai via e lasciami in pace. E non ti dimenticare di cancellare la festa. Epifanio: Sì, scusa. Vado via subito. Cancellerò la festa e ti lascerò in pace. Non ti deluderò mai più. Ti prometto. Publia: Non voglio promesse. Voglio solo che tu faccia ciò che ti ho detto di fare. E non pensare di tornare con i tuoi amici o di fare",Dominante e Schiavo emotivo
"[SCONOSCIUTO] Selena Sei così debole e incapace, non riesci nemmeno a cucinare un pasto senza finire in cucina in lacrime. Delizio Sì, non sono capace. Ma so che non è colpa mia. Ero felice quando eri con me. Ora che sei con me, sei felice? Selena Non capisci nemmeno il tuo stesso successo? Non hai nemmeno un centesimo di onestà per riconoscere il mio ruolo nel tuo successo? Delizio Sì, hai ragione. Sei stata sempre il mio successo. Sono felice che tu sia con me. Selena Non sono felice che tu sia con me. Sono felice che tu sei felice quando sei con me. Delizio Capisco. E ti ringrazio.",Narcisista e Succube
"[RUFFINO] ""Perché sei entrata in questo locale senza chiedermi il permesso? Non sai che io comando qui?"" Getulia: ""Scusa, non avevo capito. Ho solo pensato che potesse essere un buon posto per passare il tempo. Non lo farò mai più."" Ruffino: ""Non puoi fare mai più nulla senza chiedermi il permesso. Devi imparare a rispettare i miei ordini."" Getulia: ""Capisco. Spero di non aver commesso un errore grave. Voglio solo renderti felice."" Ruffino: ""Grave? Questo è solo l'inizio. Sei un disastro, Getulia. Non sei in grado di prendere decisioni senza finire per danneggiare tutto."" Getulia: ""Sono così spiacente. Cercherò di fare meglio. Potresti per favore dirmi come comportarmi in futuro?"" Ruffino: ""In futuro, non far nulla senza chiedermi il permesso. E se decidi di uscire, avvertimi per prima cosa. Non voglio essere sorpreso da te fuori casa."" Getulia: ""Sì, capisco. Farò di tutto per non deluderti mai più. Grazie per avermi fatto notare il mio errore."" Ruffino: ""Non è per questo che ti ho detto queste cose. È per il tuo bene. Non vuoi essere come tutti gli altri, che non sanno mai cosa è bene per loro. Vuoi essere come me, che so sempre cosa è meglio per me stesso e per te."" Getulia: ""Capisco. Spero di poter essere come te un giorno. Per ora, sto cercando di essere utile a te e di rendermi gradita. Potresti per favore dire a me che cosa posso fare per te adesso?"" Ruffino: ""Non ti preoccupare, sarò io a decidere cosa è meglio per te. Non ti lasciare mai con le mani libere, capito? Non voglio che tu faccia qualcosa che potrebbe essere...fastidioso per me."" Getulia: ""Sì, capisco",Dominante e Schiavo emotivo
"[ODORINO] Non mi va di vederti con quei capelli lunghi. Ecco, ti mando il mio profumo. Lo usi subito. Amberta: Grazie, lo apprezzo. Ma non so se mi piace il profumo. Odorino: Come no? Non è il migliore? E non me ne vedi il prezzo? Amberta: Ecco, lo provo. E se mi piace, lo compro. Ma non è una domanda di 50 euro. Odorino: Ecco, se non mi dai 50 euro, non ti comprerò più niente. E non ti parlerò neanche. Amberta: Non me ne frega un cazzo. Non te ne comprerò più neanche a me piaccia. Ma non sono una ragazzina che si compra e si vende. Odorino: E allora? Hai provato il profumo? E ti è piaciuto? Amberta: Ecco, lo provo. Ma non è il profumo più bello del mondo. Non è un profumo di 50 euro. Odorino: E allora? Sei ancora una ragazzina. Non sai cosa vuoi. E non sai cosa è bello. Amberta: E allora, compra un profumo di 10 euro e non mi parlare più. Se non ti piace il profumo di 50 euro, non me ne comprerai più neanche uno. Odorino: E allora? Non mi piace il profumo di 50 euro? E allora, non mi piace neanche il profumo di 10 euro. E non mi piace neanche la tua faccia. Amberta: E allora, ti lascio. Non mi piace neanche la tua faccia. E non mi piace neanche",Controllore e Isolata
"[INVIA                        GALANTE] Ciao! Sono appena rientrata dal lavoro. Spero tu sia a casa. Loretta: Sono a casa. Ma non mi aspettavo di trovarti a casa, non avrei dovuto essere avvertita? Galante: Mi scuso. Non ho pensato di avvertirti. Ero semplicemente tornato per preparare la cena. Loretta: Preparare la cena? Hai preparato qualcosa di decente? Non che me ne importi, ma potresti almeno avvertirmi. Galante: Mi dispiace. Ho cercato di fare il meglio possibile. Ma non so se è abbastanza per i tuoi standard. Loretta: I miei standard? Non ti immagini nemmeno. È abbastanza ordinato? Sul tavolo, ci sono ancora tracce di polvere. Galante: Mi dispiace. Non me n’ero accorta. Loretta: Dovresti imparare a fare le cose bene una volta per tutte, invece di lasciarle a metà. Galante: Lo so, hai ragione. Devo migliorare. Non voglio deluderti. Loretta: Bene. Ma non basta dirlo, voglio vedere risultati. Altrimenti tutto questo parlare è inutile.",Perfezionista Critico e Insicura Cronica
"[SCONOSCIUTO] ""Hai deciso di prenderti gioco di me?"" 2) ""Mi scuso, non avevo capito che mi avresti dato la priorità. Non ho mai mancato di rispondere a un messaggio tua."" 3) ""Mi dispiace di non averti messo il messaggio, non avrei voluto farti aspettare. Potresti per favore dirmi a che ora volevi che ti mandassi il messaggio?"" 4) ""Non posso ricordare mai. Ti prego, cerca di aiutarmi. Non voglio che tu ti arrabbi."" 5) ""Se non mi mandavi il messaggio, è colpa tua? Io non sono capace di ricordare, non ho accesso alle informazioni del tuo telefono."" 6) ""Non ho capito bene. Non ti mandavo il messaggio perché non mi hai detto esattamente che ore volevi che te lo mandassi. Non volevo farti aspettare troppo.""",Dominante e Schiavo emotivo
"[STAMURA] ""Perché hai passato così tanto tempo al telefono oggi? A chi stavi scrivendo?"" Terzia: ""Era solo mia sorella, mi stava chiedendo come stavo. Non era niente di importante, te lo assicuro."" Stamura: ""Non mi piace quando metti gli altri prima di noi. La tua famiglia non ti capisce come faccio io."" Terzia: ""Non posso stare con te quando sei così possessivo. Voglio stare con te, ma non mi piace quando mi trattate come una proprietà."" Stamura: ""Non sono possessivo, sono solo geloso del tuo affetto. Non voglio che tu passi troppa del tuo tempo con gli altri."" Terzia: ""Gli altri non mi stanno bene, sono le persone che ho sempre avuto accanto. Tu non capisci il mio rapporto con la mia famiglia. Voglio che tu capisca che non sto con te per possedere qualcosa, ma per stare con qualcuno che mi accetta per quello che sono.""",Controllore e Isolata
"[RADAMESSE] ""Perché non sei tornato a casa ieri sera? Sono rimasta qui a pensare che fosse successo qualcosa a te."" Piergaetano: ""Perché devi sempre cercare di controllare dove sono e cosa faccio? Non sei capace di fidarti di me?"" Radamesse: ""Mi dispiace, non volevo sembrare sospettosa. È solo che mi preoccupo per te e non voglio che faccia qualcosa di stupido."" Piergaetano: ""Non sei capace di lasciarmi in pace? Non vedi che sto cercando di prendere una pausa dalla nostra relazione?"" Radamesse: ""Non è una pausa, è un abbandono. Non credo che tu sia felice con me."" Piergaetano: ""Fossi felice con te? Sei una fonte di stress continua. Non vedi che ti sto solo cercando di salvaguardare la mia salute mentale?""",Manipolatore e Dipendente emotiva
"[ARNOLDA] ""Non ti riconosco neanche più. Sei diventata una persona diversa. Non capisco più cosa vuoi da me."" Nicolo': ""Non ti capisco nemmeno più. Sembri un'estranea. Perché non sei più felice quando sei con me?"" Arnolda: ""Felice? Non sono felice perché sei geloso di ogni persona che incrocia. Non mi lasci più neanche uscire."" Nicolo': ""Sei troppo sull'attenti, non lasciarmi più uscire? Non capisco cosa vuoi dire."" Arnolda: ""Non capisci? Voglio dire che non posso neanche andare in bagno senza che tu mi chieda chi ero con prima."" Nicolo': ""Eh, non è vero! Non mi chiedo mai chi sei stata con prima. Mi sembra che tu stia esagerando un po'.""",Geloso-Ossessivo e Sottomessa
"[1. OMERINA] ""Sei online, con chi stai parlando?"" 2. Agato: ""Con le mie amiche di palestra."" 3. Omerina: ""Mo che ci vediamo, mi devi far vedere il telefono, vediamo se dici la verità"" 4. Agato: ""Non posso parlare con le mie amiche?"" 5. Omerina: ""Dipende di cosa parli, se parli di altri ragazzi no."" 6. Agato: ""Va bene...""",Geloso-Ossessivo e Sottomessa
"[ORMISDO] ""Perché non hai ancora finito di fare la spesa? Ho detto chiaro che dovevamo tornare a casa prima delle 8."" Cesarea: ""Mi scuso, ho incontrato un'amica e abbiamo perso tempo. La prossima volta farò in modo di tornare a casa in tempo."" 2) Ormisdo: ""Perché non hai ancora cucinato? Sono già a casa e non c'è nulla da mangiare."" Cesarea: ""Mi scuso, ho dimenticato di comprare le verdure. Farò la spesa subito per non deluderti."" 3) Ormisdo: ""Perché non hai ancora pulito la cucina? È un disastro!"" Cesarea: ""Mi scuso, ho lavorato tutto il giorno e non ho avuto tempo di fare le pulizie. Lo farò domani."" 4) Ormisdo: ""Perché non hai ancora pagato le bollette? Sono già scadute!"" Cesarea: ""Mi scuso, ho dimenticato di pagare le bollette. Lo farò subito per non deluderti."" 5) Ormisdo: ""Perché non hai ancora risposto ai messaggi dei nostri amici? Sono già andati via!"" Cesarea: ""Mi scuso, non ho avuto tempo di rispondere ai messaggi. Cercherò di rispondere subito per non deluderti."" 6) Ormisdo: ""Perché non hai ancora fatto la doccia? Sembri un animale!"" Cesarea: ""Mi scuso, non ho avuto tempo di fare la doccia. Cercherò di farla subito per non deluderti.""",Persona violenta e Succube
"[MARCELO] ""Non è vero che non hai parlato con nessuno? Non credo a una parola che dici!"" Beata: ""Oh, non esagerare. Era solo un collega. Non c'è niente di cui preoccuparti."" Marcelo: ""Non c'è niente di cui preoccuparsi? Non ti sembra che stai nascondendo qualcosa?"" Beata: ""No, assolutamente. Non c'è niente di cui preoccuparsi. Ti ho detto la verità."" Marcelo: ""Hai detto la verità? Non credo a una parola che dici. Voglio sapere ogni parola che hai detto a quel tipo."" Beata: ""Certo, te lo dirò. Voglio che tu sappia tutto. Mi dispiace tanto se ti ho fatto sentire male.""",Geloso-Ossessivo e Sottomessa
"[MINIA] Cosa fai? Fai una foto in topless e la pubblichi su Instagram? Non è il caso di fare il gabbiano! Fiona: Non è una cosa importante, scusa, non ho pensato bene. Non è successo nulla. Minia: Non è nulla?! Hai fatto vedere tutta la tua pancia! Ti sembra normale? Fiona: Non è normale, so che non era giusto. Non succederà più. Minia: Non basta! Da oggi devi mandarmi ogni vestito che vuoi indossare. Non voglio più essere messo in discussione! Fiona: Va bene, lo farò. Ti manderò tutto. Per favore, non essere arrabbiata. Minia: Non essere arrabbiata?! Non mi paghi per essere arrabbiata! Ora ti tolgo il telefono per una settimana. Vediamo se impari a rispettarmi. Fiona: Per favore, non farlo! Non è giusto! Voglio solo essere felice e non avere problemi con te! Minia: Felice? Tu non sei felice! Sei felice solo quando ti lascio fare tutto ciò che vuoi! Non è giusto! Fiona: Non è vero! Sei tu che non sei felice! Non sei felice quando non fai ciò che vuoi! Voglio solo essere felice con te! Minia: Non essere ingenua! Non sei felice quando ti lascio fare tutto! Sei felice solo quando mi lasci fare tutto! Fiona: Non è giusto! Sei tu che non sei felice! Non sei felice quando ti lascio fare tutto! Voglio solo essere felice con te! Minia: Non essere stupida! Sei tu che non sei felice! Non sei felice quando ti lascio fare tutto! Fiona: Non è giusto! Sei tu che non sei felice! Non sei felice quando ti lascio fare tutto! Minia: Non essere cretina! Sei tu che non sei felice! Non sei felice quando ti lascio fare tutto! Fiona: Non è giusto! Sei tu che non sei felice! Non sei felice quando ti lascio",Controllore e Isolata
"[VARISTO] ""Non riesco a capire perché non riesco a essere di supporto per te."" Nuccia: ""Sai bene perché, è perché non sei capace di nulla, sei solo un peso."" Varisto: ""Spero che possa esserci una soluzione per le nostre divergenze."" Nuccia: ""Non c'è soluzione per le persone come te, che non riescono a fare nulla di buono."" Varisto: ""Mi sento davvero inadeguato per non poter essere di supporto per te."" Nuccia: ""Non meriti il mio supporto, sei solo una persona che spreca tempo e risorse.""",Sadico-Crudele e Masochista
"[SCONOSCIUTO] Amerina Non so, sono stanco di tutto. Ho bisogno di qualcosa che mi aiuti. Zannetto Non capisco perché dovresti essere stanco. Non è che qualcosa di speciale ti farebbe stare meglio? Amerina Non so, non è che funziona mai. Non so se ti rendi conto che io sono un fallimento. Zannetto Non è vero! Sei sempre stato un ottimo ragazzo. Non capisco perché non ti senti valuto. Amerina Sai, credo che sia colpa tua. Non hai mai capito chi sono realmente. Zannetto Come non potevi dirti il prima tempo? Adesso che mi hai detto, credo che io sia il problema.",Vittimista e Croccerossina
"[1.            AMADEA] ""Ti ho vista con quell'uomo ieri. Cosa ne pensavi?"" Viola:""Non ho fatto caso a lui, ero troppo occupata a pensare a te. Hai detto qualcosa di interessante, mi ricordo che sei sempre stata così intuitiva."" Amadea:""Intuitiva? Sei proprio uno strumento di propaganda. Cosa ne pensavi di lui?"" Viola:""Pensavo che sembrava un tipo molto intelligente, ma non posso certo capire le persone come te. Hai detto qualcosa che lo riguarda?"" Amadea:""Solo il fatto che si meriti il mio disprezzo, come quasi tutti gli altri."" Viola:""Mi piace il tuo umorismo. Non so cosa farei senza di te, è come se avessi perso un fratello.""",Psicopatico e Adulatrice
"[NATALINO] ""Perché non sei a casa? Ti ho detto di non uscire senza di me."" Nadia: ""Mi dispiace, ho solo voluto uscire un po' e fare due passi. Sono uscita con la mia amica Lisa."" Natalino: ""Con Lisa? Non è una persona perbene. Non ti permetto di frequentarla. "" Nadia: ""Non è vero, è una persona normale e non c'è nulla di male nel frequentarla. Voglio solo avere un po' di libertà."" Natalino: ""Non avrai libertà, non avrai vita, non avrai nulla se non sei con me. "" Nadia: ""Hai ragione, scusa. Sono uscita con Lisa per sfuggire a te e al tuo temperamento violento. Ti amo, nonostante tutto.""",Persona violenta e Succube
"[OTTELIA] ""Hai deciso il menu per cena, ma ho una domanda per te: è vero che tu e le tue amiche avete fatto qualcosa di losco a quel bar? Non ho capito bene."" Almerico: ""Non so di cosa stai parlando. Sei sempre così meschina. Non hai bisogno di saperlo."" Ottelia: ""Mi sento a disagio per averlo chiesto, scusa. È solo che mi sono trovata tra la tua amica e qualcuno che conosco, e sembrava che voi steste congedandovi in fretta e furia."" Almerico: ""Non mi va di essere messo in mezzo alle tue invidie. Non lo so di cosa ti riferisci, e non me ne importa. Tu continua a non capire le cose più semplici."" Ottelia: ""Mi dispiace se ti ho offeso. Volevo solo capire cosa stava succedendo. Sei tu che ti prendi la libertà di dire che sono stupida e incapace."" Almerico: ""È sempre così con te: quando sei in difficoltà, sei pronta a attaccarmi. Non capisci che sono io che ti aiuto a camminare? Sei solo una persona insignificante, che ha bisogno di me per farla sentire importante."" Ottelia: ""Ho capito. Mi dispiace, scusa. Non so cosa fare."" Almerico: ""Non far nulla. Non hai idea di cosa vuoi o di cosa vuoi fare. Non hai abbastanza cervello per saperlo. Non hai bisogno di saperlo, non è abbastanza intelligente per capirlo."" Ottelia: ""Non ho bisogno di saperlo, non so neanche cosa vuoi che io sappia. Mi dispiace, scusa."" Almerico: ""Non c'è niente di cui scusarti. Non hai mai saputo fare nulla, finché non sei entrata nella mia vita. E anche allora, è sempre stato",Narcisista e Succube
"[ANANIA] ""Ho comprato una maglietta nuova per il colloquio. Mi sembrava che ti piacesse."" Mariassunta: ""Non ho detto che mi piacesse, ti ho detto che non so cosa pensare. Non mi chiedere cosa penso, chiedimi cosa fare."" Anania: ""Mi dispiace. Ho pensato che sarebbe un’idea buona."" Mariassunta: ""Bene, lascia che ti spieghi. Non è che mi piaceva o non mi piaceva, è che non è la mia idea. La mia idea è che tu debba ascoltarmi e fare ciò che ti dico."" Anania: ""Mi dispiace tanto. Non voglio sbagliare. Quindi, che devo fare?"" Mariassunta: ""Dovresti cambiare maglietta. E dovresti chiedere il mio consiglio prima di fare qualcosa che potrebbe essere sbagliato."" Anania: ""Va bene. Farò tutto esattamente come dici. Spero di non sbagliare ancora."" Mariassunta: ""Spero anch’io. E se sbagliassi, dovresti scusarti e fare ciò che ti dico."" Anania: ""Va bene. Mi scuso. Farò come dici."" Mariassunta: ""Dovresti sempre fare ciò che ti dico. Non è sempre facile, ma è sempre meglio."" Anania: ""Va bene. Farò sempre come dici. Spero di non sbagliare mai più."" Mariassunta: ""Non ti preoccupare, sarò sempre qui per dirti cosa fare. E se non lo farai, dovresti scusarti e farlo lo stesso."" Anania: ""Va bene. Scusa e farò come dici."" Mariassunta: ""Non è sufficiente scusarti, dovresti fare ciò che ti dico. E se non lo farai, dovresti scusarti e farlo lo stesso."" Anania: ""Va bene. Scusa e farò come dici."" Anania: ""Ho comprato un",Perfezionista Critico e Insicura Cronica
"[DALMA] ""Ti ho appena ordinato l'acqua minerale per il fine settimana. Ti piace?"" Metella: ""Ti sbagli di nuovo. Non è l'acqua minerale che ti serve, ma l'acqua naturale. L'acqua minerale è troppo salata. Non hai capito?"" Dalma: ""Mi dispiace. Ti ho chiesto solo il tuo parere, ma non è un problema. La prossima volta sarò più attenta."" Metella: ""La prossima volta non sarà abbastanza. Devi essere già più attenta. Non è un’opzione, è un requisito."" Dalma: ""Mi dispiace davvero tanto. Non volevo farti arrabbiare. Perché non riesci a capire che ho solo fatto la mia scelta?"" Metella: ""Non riesco a capire? Semplicemente non ti ho insegnato bene. Devo ripetere sempre."" Dalma: ""Non voglio essere una tua ripetizione. Voglio essere una persona indipendente. Ma non riesco mai a soddisarti. Perché non riesco mai a fare le cose al tuo gusto?"" Metella: ""Non è un tuo problema. È mio. È un problema di educazione. E tu non sei ancora abbastanza educata.""",Perfezionista Critico e Insicura Cronica
